Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	4	26	4-7	10.0365	28	68	-0.311	234	Terrestrial	151	32.95	33.4	30.07	24.87	15.23	2.42	10.82	7.458	1	NA	41	NA	NA	0.683333333	NA
2019	4	26	4-7	10.0365	28	68	-0.311	234	Terrestrial	151	32.95	33.4	30.07	24.87	15.23	2.42	10.82	7.458	2	NA	100	NA	NA	1.666666667	NA
2019	4	26	4-7	10.0365	28	68	-0.311	234	Terrestrial	151	32.95	33.4	30.07	24.87	15.23	2.42	10.82	7.458	3	NA	74	NA	NA	1.233333333	NA
2019	4	27	4-8	10.7478	24	105	-0.323	199	Aquatic	186	35.21	35.25	31.86	26.26	16.68	4.26	11.94	9.2058	1	NA	366	NA	NA	6.1	NA
2019	4	27	4-8	10.7478	24	105	-0.323	199	Aquatic	186	35.21	35.25	31.86	26.26	16.68	4.26	11.94	9.2058	3	NA	NA	NA	NA	NA	NA
2019	4	27	4-8	10.7478	24	105	-0.323	199	Aquatic	186	35.21	35.25	31.86	26.26	16.68	4.26	11.94	9.2058	2	NA	NA	NA	NA	NA	NA
2019	4	28	4-9	11.1504	26	85	-0.6113	220	Terrestrial	151	34.2	34.16	32.8	25.38	15.59	2.15	12.96	6.8088	1	49	28	21	0.816666667	0.466666667	0.35
2019	4	28	4-9	11.1504	26	85	-0.6113	220	Terrestrial	151	34.2	34.16	32.8	25.38	15.59	2.15	12.96	6.8088	2	129	31	98	2.15	0.516666667	1.633333333
2019	4	28	4-9	11.1504	26	85	-0.6113	220	Terrestrial	151	34.2	34.16	32.8	25.38	15.59	2.15	12.96	6.8088	3	184	19	165	3.066666667	0.316666667	2.75
2019	5	29	5-1	7.5087	30	60	-1.0302	241	Terrestrial	151	29.23	31.28	26.37	24.29	13.78	1.83	9.55	6.2289	1	NA	135	NA	NA	2.25	NA
2019	5	29	5-1	7.5087	30	60	-1.0302	241	Terrestrial	151	29.23	31.28	26.37	24.29	13.78	1.83	9.55	6.2289	2	137	96	41	2.283333333	1.6	0.683333333
2019	5	29	5-1	7.5087	30	60	-1.0302	241	Terrestrial	151	29.23	31.28	26.37	24.29	13.78	1.83	9.55	6.2289	3	156	84	72	2.6	1.4	1.2
2019	6	31	6-2	11.757	28	68	-0.7774	224	Terrestrial	151	34.06	36.77	33.96	28.01	16.57	1.9	10.47	7.8832	1	205	156	49	3.416666667	2.6	0.816666667
2019	6	31	6-2	11.757	28	68	-0.7774	224	Terrestrial	151	34.06	36.77	33.96	28.01	16.57	1.9	10.47	7.8832	2	611	136	475	10.18333333	2.266666667	7.916666667
2019	6	31	6-2	11.757	28	68	-0.7774	224	Terrestrial	151	34.06	36.77	33.96	28.01	16.57	1.9	10.47	7.8832	3	64	61	3	1.066666667	1.016666667	0.05
