Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL1	CW1	PL1	PW1	BD1	NV1	VT1	Mass1	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	DaysBwMeas	SCLgrD	CWgrD	PLgrD	PWgrD	MassgrD
2019	7	37	7-4	13.6449	32	54	-1.1348	236	Terrestrial	151	34.35	33.7	31.77	26.38	17.87	3.05	10.28	10.791	36.16	37.15	33.02	28.07	16.01	2.78	9.99	9.0329	230	0.007869565	0.015	0.005434783	0.007347826	-0.007643913
2019	7	38	7-5	13.5954	26	85	-0.2445	204	Aquatic	200	33.69	33.81	33.03	25.23	17.55	2.17	12.14	10.8075	37.13	38.52	35.43	27.79	17.84	3.76	11.72	11.7004	200	0.0172	0.02355	0.012	0.0128	0.0044645
2019	7	39	7-7	10.0275	28	68	0	219	Aquatic	214	30.15	28.63	29.92	19.96	17.01	1.98	9.77	7.4597	37.65	37.97	35.15	27.61	18.29	2.55	10.55	11.2076	217	0.034562212	0.043041475	0.024101382	0.035253456	0.017271429
2019	7	40	7-8	9.2667	24	105	-0.323	186	Terrestrial	151	29.4	29.21	26.96	22.02	15.23	3.45	9.38	6.6838	30.43	30.9	27.62	21.47	13.73	3.27	10.09	5.9989	182	0.005659341	0.009285714	0.003626374	-0.003021978	-0.003763187
2019	8	41	8-1	13.2592	30	60	-3.9148	245	Aquatic	214	33.23	32.11	32.43	26.72	18.14	2.6	9.92	10.0483	42.76	41.59	39.2	33.12	20.28	2.44	11.94	16.0879	243	0.039218107	0.039012346	0.027860082	0.026337449	0.024854321
2019	8	42	8-2	12.7996	28	68	-3.2652	239	Aquatic	214	33.24	33.35	31.98	25.78	18.46	2.97	9.74	10.0094	42.95	43.29	38.62	33.53	20.63	2.98	10.84	16.9936	237	0.040970464	0.041940928	0.028016878	0.032700422	0.029469198
2019	8	43	8-3	13.246	24	105	-3.0686	219	Terrestrial	151	32.48	30.12	29.97	24.06	18.9	1.62	11.15	9.7835	34.51	36.88	32.14	28.91	16.66	2.49	11.94	7.9505	214	0.009485981	0.031588785	0.010140187	0.022663551	-0.008565421
2019	8	44	8-5	12.2784	26	85	-3.3012	228	Terrestrial	151	33.85	33.36	32.99	26.34	17.28	2.14	10.78	9.8006	36.07	36.33	34.28	28.05	17.19	2.11	11.36	8.916	222	0.01	0.013378378	0.005810811	0.007702703	-0.003984685
2019	8	45	8-6	12.8259	24	105	-3.1494	220	Aquatic	186	32.38	31.08	31.67	24.01	18.91	2.2	10.15	10.1695	35.87	36.26	34.25	28.68	17.13	3.62	10.76	10.385	217	0.016082949	0.023870968	0.011889401	0.021520737	0.000993088
2019	8	46	8-7	11.0394	28	68	-3.2652	239	Terrestrial	151	31.53	30.81	30.65	24.47	17.75	1.88	9.44	8.5191	33.17	34.68	32.55	27.55	16.2	1.6	10.02	8.4911	235	0.006978723	0.016468085	0.008085106	0.013106383	-0.000119149
2019	8	47	8-8	13.1754	26	85	-3.5457	230	Aquatic	214	32.7	31.94	32.07	24.69	18.79	2.25	10.51	10.4614	41.32	41.92	38.12	32.21	20.14	2.79	10.6	15.736	228	0.037807018	0.04377193	0.026535088	0.032982456	0.023134211
2019	9	48	9-1	12.8039	32	54	-4.1609	237	Terrestrial	151	31.78	29.41	29.55	23.45	18.68	2.09	8.95	10.0159	33.61	35.5	31.66	26.73	16.4	2.38	10.4	9.0308	234	0.007820513	0.026025641	0.009017094	0.014017094	-0.004209829
2019	9	49	9-2	13.5798	30	60	-3.2967	236	Aquatic	214	34.77	34.11	33.12	24.58	18.39	2.09	12.07	10.6197	42.92	43.34	38.53	31.5	19.69	3.33	12.67	16.2206	231	0.035281385	0.03995671	0.023419913	0.02995671	0.02424632
2019	9	50	9-3	13.5647	26	85	-2.8121	218	Terrestrial	151	33.41	31.14	31.5	23.68	18.4	2.64	11.32	10.8517	35.99	36.58	33.66	26.85	17.36	3.34	11.8	10.7126	215	0.012	0.025302326	0.010046512	0.014744186	-0.000646977
2019	9	51	9-4	14.014	28	68	-2.6433	229	Aquatic	214	34.5	33.44	33.42	25.1	18.45	3	11.08	10.9987	47.2	46.96	42.87	34.74	21.47	4.05	11.45	22.6811	224	0.056696429	0.060357143	0.0421875	0.043035714	0.052153571
2019	9	52	9-5	14.1475	24	105	-2.5034	206	Aquatic	200	32.75	33.47	31.73	24.18	17.85	2.8	9.63	10.6487	35.88	37.11	34.13	27.27	17.71	3.12	10.82	11.2358	202	0.01549505	0.018019802	0.011881188	0.01529703	0.002906436
2019	9	53	9-6	14.114	24	105	-2.6649	208	Terrestrial	151	31.88	29.53	30.65	23.71	17.49	2.39	10.33	10.5905	34.59	37.56	33.44	29	16.37	2.76	11.12	10.361	204	0.013284314	0.039362745	0.013676471	0.025931373	-0.001125
2019	10	54	10-1	9.1838	28	68	-0.4665	196	Terrestrial	151	29.06	28.43	29.12	21.7	16.47	2.06	10.79	7.3938	30.83	31.85	29.93	23.97	14.85	1.91	11.22	7.1252	192	0.00921875	0.0178125	0.00421875	0.011822917	-0.001398958
2019	10	55	10-2	7.2893	24	105	-0.5653	163	Terrestrial	151	25.85	26.82	24.24	21.27	15.46	2.58	9.24	5.5165	26.72	28.01	25.22	21.72	13.55	2.54	9.48	5.2641	158	0.005506329	0.007531646	0.006202532	0.002848101	-0.001597468
2019	10	56	10-4	8.7917	26	85	0	176	Terrestrial	151	27.29	24.6	25.88	20.81	17.26	3.03	8.58	7.0064	28.21	27.42	27.46	22.46	15.05	2.56	8.66	5.6138	172	0.005348837	0.016395349	0.009186047	0.009593023	-0.008096512
2019	10	57	10-5	9.3882	30	60	-0.8242	205	Terrestrial	151	29.41	28.56	29.56	21.18	16.59	2.19	9.52	7.8688	31.33	32.82	31.41	24.28	15	2.11	9.94	7.4272	201	0.009552239	0.02119403	0.00920398	0.015422886	-0.002197015
2019	10	58	10-6	9.3173	24	105	-0.4038	161	Aquatic	145	29.49	26.56	27.31	21.12	17.61	3.34	9.34	7.829	31.01	31.05	29.05	23.36	15.25	3.02	9.42	7.1078	159	0.009559748	0.028238994	0.010943396	0.01408805	-0.004535849
2019	10	59	10-7	9.519	26	85	-0.7336	182	Aquatic	145	29.2	27.55	28.9	21.47	17.09	2.47	11.1	7.6814	31.17	31.92	30.49	24.02	15.05	2.43	10.69	7.0786	179	0.011005587	0.024413408	0.008882682	0.01424581	-0.003367598
2019	10	60	10-8	10.6964	30	60	-0.8242	205	Aquatic	200	30.23	30.61	30.15	23.75	16.97	2.22	8.4	9.0656	34.06	35.07	33.04	26.99	16.62	1.94	7.75	9.5545	202	0.018960396	0.022079208	0.014306931	0.016039604	0.002420297
2019	10	61	10-9	7.7865	32	54	-1.1348	210	Terrestrial	151	27.24	28.06	27.08	22.2	15.68	2.24	9.79	6.5143	29.18	31.08	28.44	23.13	14.49	2.04	9.97	6.3312	205	0.009463415	0.014731707	0.006634146	0.004536585	-0.000893171
2019	11	62	11-1	9.1186	30	60	-1.2362	207	Aquatic	200	29.7	28.66	27.41	21.58	16.89	1.91	9.98	7.5834	31.76	33.34	30.05	24.73	15.43	2.14	10.29	7.3241	204	0.010098039	0.022941176	0.012941176	0.015441176	-0.001271078
2019	11	63	11-2	9.0694	28	68	-0.7774	198	Terrestrial	151	28.9	29.79	27.04	22.4	16.55	1.94	9.22	7.3199	29.8	31.62	28.01	23.43	14.55	2.83	10.09	6.4859	194	0.004639175	0.00943299	0.005	0.005309278	-0.004298969
2019	11	64	11-3	11.5389	26	85	-0.7336	182	Aquatic	145	31.57	33.68	29.87	25.85	17.46	4.17	10.91	9.2413	32.86	35.54	30.94	26.51	16.37	3.66	11.02	8.6555	174	0.007413793	0.010689655	0.006149425	0.003793103	-0.003366667
2019	11	65	11-4	11.5217	32	54	-1.1348	210	Terrestrial	151	29.49	29.72	29.82	22.95	17.76	2.49	9.51	8.9864	31.1	33.3	31.99	26.43	15.3	1.29	9.67	7.2397	206	0.007815534	0.017378641	0.010533981	0.016893204	-0.008479126
2019	11	66	11-5	9.665	24	105	-0.7268	165	Aquatic	145	28.95	28.8	27.88	22.07	16.58	4.63	10.76	7.5177	30.42	31.14	28.94	22.62	15.13	3.85	10.76	6.6801	161	0.009130435	0.014534161	0.006583851	0.003416149	-0.005202484
2019	11	67	11-6	9.2204	32	54	-1.8913	212	Aquatic	200	28.32	28.41	27.26	21.15	16.69	2.92	9.33	7.4809	31.02	32.06	29.37	24.23	15.1	2.55	10.1	7.4884	207	0.013043478	0.01763285	0.010193237	0.014879227	3.62319e-05
2019	11	68	11-8	11.265	26	85	-0.7336	182	Terrestrial	151	32.12	33.03	30.78	25.11	17.1	2.51	9.88	9.1385	33.5	35.23	31.87	26.91	16.22	1.74	9.84	8.623	173	0.007976879	0.012716763	0.006300578	0.010404624	-0.002979769
2019	11	69	11-9	9.5655	30	60	-1.4423	208	Terrestrial	151	29.16	29.15	28.72	22.63	16.13	2.25	8.97	7.9325	31.43	33.15	30.58	25.09	14.57	2.05	9.67	6.6745	203	0.011182266	0.019704433	0.009162562	0.012118227	-0.006197044
2020	12	70	2-1	8.5549	32	54	-2.2696	245	Aquatic	180	29.22	27.21	28.57	22.06	17.15	3.61	9.92	6.9336	32.25	33.07	31.13	25.69	15.67	2.51	10.74	8.1046	243	0.012469136	0.024115226	0.010534979	0.014938272	0.00481893
2020	12	71	2-2	9.2598	28	68	-0.622	229	Aquatic	180	29.97	30.02	30.18	23.35	15.96	2.72	11.99	8.1334	31.91	33.32	31.87	25.2	15.14	2.33	11.24	7.5204	226	0.008584071	0.01460177	0.007477876	0.008185841	-0.002712389
2020	12	72	2-3	9.595	24	105	-0.8075	198	Aquatic	180	30.87	27.62	29.28	22.02	17.27	2.09	10.99	8.1097	34.1	35.28	31.5	26.49	15.98	3.41	11.16	7.326	195	0.016564103	0.039282051	0.011384615	0.022923077	-0.004018974
2020	12	73	2-4	10.0107	26	85	-1.1004	217	Aquatic	180	31.03	30	29.02	23.33	16.36	3.32	11.04	8.2587	34.35	35.1	30.95	26.02	16.6	3.13	11.22	8.7925	215	0.01544186	0.02372093	0.008976744	0.012511628	0.002482791
